River_Sta,River,Reach,Gage,date,Event,Run_type,Run_num,Type,value
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 3:00,2001,Calibration,1,Model_Q,55719.19141
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 4:00,2001,Calibration,1,WS_Elev,573.4830322
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 4:00,2001,Calibration,1,Model_Q,55748.9375
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 5:00,2001,Calibration,1,WS_Elev,573.4885864
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 5:00,2001,Calibration,1,Model_Q,55765.83594
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 6:00,2001,Calibration,1,WS_Elev,573.4937134
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 6:00,2001,Calibration,1,Obs_WS,573.1900024
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 6:00,2001,Calibration,1,Model_Q,55780.48438
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 7:00,2001,Calibration,1,WS_Elev,573.5122681
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 7:00,2001,Calibration,1,Model_Q,56354.12891
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 8:00,2001,Calibration,1,WS_Elev,573.5377808
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 8:00,2001,Calibration,1,Model_Q,56847.38672
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 9:00,2001,Calibration,1,WS_Elev,573.5582886
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 9:00,2001,Calibration,1,Model_Q,57044.51953
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 10:00,2001,Calibration,1,WS_Elev,573.5684204
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 10:00,2001,Calibration,1,Model_Q,57355.77344
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 11:00,2001,Calibration,1,WS_Elev,573.569519
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 11:00,2001,Calibration,1,Model_Q,57609.66016
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 12:00,2001,Calibration,1,WS_Elev,573.5686646
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 12:00,2001,Calibration,1,Obs_WS,573.1699829
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 12:00,2001,Calibration,1,Model_Q,57726.03516
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 13:00,2001,Calibration,1,WS_Elev,573.5510254
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 13:00,2001,Calibration,1,Model_Q,57133.48438
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 14:00,2001,Calibration,1,WS_Elev,573.5247803
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 14:00,2001,Calibration,1,Model_Q,56607.07813
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 15:00,2001,Calibration,1,WS_Elev,573.5039673
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 15:00,2001,Calibration,1,Model_Q,56412.41406
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 16:00,2001,Calibration,1,WS_Elev,573.4856567
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 16:00,2001,Calibration,1,Model_Q,56325.17969
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 17:00,2001,Calibration,1,WS_Elev,573.4684448
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 17:00,2001,Calibration,1,Model_Q,56287.48438
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 18:00,2001,Calibration,1,WS_Elev,573.4523926
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 18:00,2001,Calibration,1,Obs_WS,573.1400146
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 18:00,2001,Calibration,1,Model_Q,56284.10156
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 19:00,2001,Calibration,1,WS_Elev,573.4509888
